2026-01-28,2026-01-27,2026-01-26,2026-01-23,2026-01-22,2026-01-21,2026-01-20,2026-01-16,2026-01-15,2026-01-14,2026-01-13,2026-01-12,2026-01-09,2026-01-08,2026-01-07,2026-01-06,2026-01-05,2026-01-02,2025-12-31,2025-12-30,2025-12-29,2025-12-26,2025-12-24,2025-12-23,2025-12-22,2025-12-19,2025-12-18,2025-12-17,2025-12-16,2025-12-15,2025-12-12,2025-12-11,2025-12-10,2025-12-09,2025-12-08,2025-12-05,2025-12-04,2025-12-03,2025-12-02,2025-12-01,2025-11-28,2025-11-26,2025-11-25,2025-11-24,2025-11-21,2025-11-20,2025-11-19,2025-11-18,2025-11-17,2025-11-14,2025-11-13,2025-11-12,2025-11-11,2025-11-10,2025-11-07,2025-11-06,2025-11-05,2025-11-04,2025-11-03,2025-10-31,2025-10-30,2025-10-29,2025-10-28,2025-10-27,2025-10-24,2025-10-23,2025-10-22,2025-10-21,2025-10-20,2025-10-17,2025-10-16,2025-10-15,2025-10-14,2025-10-13,2025-10-10,2025-10-09,2025-10-08,2025-10-07,2025-10-06,2025-10-03,2025-10-02,2025-10-01,2025-09-30,2025-09-29,2025-09-26,2025-09-25,2025-09-24,2025-09-23,2025-09-22,2025-09-19,2025-09-18,2025-09-17,2025-09-16,2025-09-15,2025-09-12,2025-09-11,2025-09-10,2025-09-09,2025-09-08,2025-09-05
25.0000,22.9700,26.7600,24.5600,22.3600,22.6600,21.4300,21.2100,20.9300,19.5600,19.5300,18.3200,19.1000,19.5300,18.2400,18.8300,17.2700,14.6600,14.1000,15.1500,14.7000,15.0800,15.2000,15.0400,15.4000,14.4400,13.6000,14.1200,13.3600,14.7600,16.0000,14.6300,15.2500,15.2900,15.6800,16.6000,15.0800,15.3500,14.2000,14.2000,14.5700,14.7500,13.9000,13.0000,12.8250,15.9900,15.3600,14.5650,15.1400,14.5000,15.7800,15.9000,16.0600,16.3800,14.1600,15.7500,16.9400,16.0000,19.6900,22.3000,21.0000,19.6200,19.7100,20.1000,21.7600,23.1800,18.8900,22.4900,22.3300,19.5050,24.9200,26.6550,26.0800,24.3400,21.2400,19.0000,18.0000,17.4900,17.3500,17.0600,16.0000,15.0000,15.1300,17.2700,17.5100,15.1200,17.3300,15.8000,15.0000,14.1000,14.3500,13.7500,14.2300,11.9400,12.5000,12.5100,13.0800,12.4000,11.6200,11.2300
27.9000,24.4300,26.9600,26.0650,25.0900,23.2416,24.3500,22.3474,22.4800,21.3700,20.1000,19.8000,19.9600,19.5700,19.0300,19.0200,18.5350,17.0700,14.7800,15.2200,16.0000,15.1200,15.3000,15.9700,15.5300,15.6200,14.1600,14.4204,14.3250,15.2900,16.0200,16.0400,15.2550,15.6565,15.9173,16.6300,16.5200,15.4850,15.0800,14.6000,14.8299,14.8000,14.5900,14.0800,12.9500,16.0600,16.2050,15.5700,15.7800,16.4300,16.5200,16.3055,16.1500,16.9169,15.7200,15.9600,17.0000,18.2000,19.8900,22.4459,22.2500,21.1400,20.9500,20.2600,22.8500,23.4100,22.9500,22.4900,23.1400,21.6700,26.0250,27.3300,26.8800,25.6900,22.3700,20.5100,19.2600,19.0090,18.0500,17.8500,17.0000,15.8000,16.3850,17.5000,18.7800,17.6700,18.5951,16.7700,15.7050,15.2850,14.3787,14.1500,14.4092,14.1200,12.5182,12.8700,13.2500,13.4600,11.9580,11.5700
24.5200,22.4500,22.5100,23.9300,22.2200,20.8800,21.2900,20.9000,20.5301,18.9100,19.0500,17.7500,17.9600,18.3500,17.8142,17.6800,16.8300,14.6600,14.0600,14.1400,14.6500,14.5601,14.6900,15.0100,14.8800,14.3000,13.5400,13.4000,13.3600,13.9800,14.2000,14.5300,14.1500,14.9800,15.2600,15.1300,14.7400,14.7000,14.1400,13.9200,14.2000,14.3200,13.4400,12.8000,12.0805,13.1650,15.1100,14.5300,14.7700,14.2700,15.2550,15.5842,15.3200,16.0900,14.0800,14.6000,15.6450,15.7600,17.4000,20.0100,19.5601,19.1510,19.2100,17.7800,20.2900,20.7400,18.7600,20.3701,20.7815,19.2100,21.4400,23.0000,21.9000,22.7100,20.2000,18.5100,17.4100,16.8900,16.8500,16.0300,15.5400,14.9400,14.8400,16.0800,16.4500,15.1100,16.7700,15.3500,14.2600,14.0100,13.6300,13.4750,13.1900,11.8624,11.8200,12.3200,12.5200,11.9700,11.2500,10.9400
27.7200,24.1600,23.3300,25.5000,24.4200,22.5200,23.5200,21.9400,20.9200,20.9100,19.4200,19.2600,18.1600,18.5900,18.9500,18.3400,18.4700,16.6800,14.5400,14.2100,15.0700,14.6400,15.1000,15.1800,15.0900,15.0700,13.9800,13.4700,14.0800,14.0200,14.5700,15.8200,14.8600,15.4000,15.4900,15.6100,16.3200,15.1000,15.0500,14.0700,14.4000,14.3600,14.5000,13.9700,12.7800,13.2100,15.4900,15.0500,14.9600,15.5500,15.4800,15.8200,15.6800,16.4900,15.6500,15.1200,16.2100,17.0100,17.8000,20.5100,21.8200,20.4000,20.0300,19.1000,21.3700,21.2600,22.7400,20.6300,22.5800,21.0600,21.6900,24.9900,26.2300,23.7700,20.3400,19.7000,18.0000,17.5900,16.9100,16.5200,16.8200,15.7100,15.3500,16.5200,16.7100,17.2600,16.8700,16.6700,15.5700,14.8600,14.1000,14.0800,13.4100,13.8200,11.9300,12.5300,12.6300,13.0800,11.9000,11.5600
27701177,15032052,25563140,17070074,19853209,24459125,26047169,15903538,19797089,16060181,10196947,11704990,15014806,14213546,12986200,13814168,18296481,14928377,6486395,9203157,11608936,4169629,3469041,8067475,8401757,15293229,5892934,6215050,6089648,7129382,10004025,9557924,9548187,5997802,5931839,11619202,15500544,8370714,7872714,7793716,5193843,7545308,9804813,11888724,16878947,21052405,14640207,10761615,8491072,13517774,12737040,9384025,8671591,14619783,18487994,24677218,20382448,29016879,37284588,25952134,27587464,20299729,23180248,40668180,34006157,33461898,40408475,20916149,27531543,29809238,47665604,58895145,60650540,43240461,46707872,36664951,26409033,26358117,22608968,24417170,22460555,33608419,40546190,12066461,18859072,28144021,32472486,17562858,14015937,20708607,13275730,12394143,13494297,19534738,8385528,7367159,13070357,24499249,10099132,8085727
