2026-01-27,2026-01-26,2026-01-23,2026-01-22,2026-01-21,2026-01-20,2026-01-16,2026-01-15,2026-01-14,2026-01-13,2026-01-12,2026-01-09,2026-01-08,2026-01-07,2026-01-06,2026-01-05,2026-01-02,2025-12-31,2025-12-30,2025-12-29,2025-12-26,2025-12-24,2025-12-23,2025-12-22,2025-12-19,2025-12-18,2025-12-17,2025-12-16,2025-12-15,2025-12-12,2025-12-11,2025-12-10,2025-12-09,2025-12-08,2025-12-05,2025-12-04,2025-12-03,2025-12-02,2025-12-01,2025-11-28,2025-11-26,2025-11-25,2025-11-24,2025-11-21,2025-11-20,2025-11-19,2025-11-18,2025-11-17,2025-11-14,2025-11-13,2025-11-12,2025-11-11,2025-11-10,2025-11-07,2025-11-06,2025-11-05,2025-11-04,2025-11-03,2025-10-31,2025-10-30,2025-10-29,2025-10-28,2025-10-27,2025-10-24,2025-10-23,2025-10-22,2025-10-21,2025-10-20,2025-10-17,2025-10-16,2025-10-15,2025-10-14,2025-10-13,2025-10-10,2025-10-09,2025-10-08,2025-10-07,2025-10-06,2025-10-03,2025-10-02,2025-10-01,2025-09-30,2025-09-29,2025-09-26,2025-09-25,2025-09-24,2025-09-23,2025-09-22,2025-09-19,2025-09-18,2025-09-17,2025-09-16,2025-09-15,2025-09-12,2025-09-11,2025-09-10,2025-09-09,2025-09-08,2025-09-05,2025-09-04
336.5000,332.7900,332.0700,333.4200,333.4300,340.7900,346.5100,342.8050,329.8600,332.8700,322.1000,319.8300,324.3900,324.6700,330.2200,330.4000,311.9800,304.0000,302.3600,301.7800,299.9000,297.7400,293.3950,294.6700,286.3800,285.0000,288.5250,287.2600,295.1450,304.2800,305.3200,305.3700,299.9900,301.2000,296.0500,293.9800,292.1800,292.0000,286.9200,292.4800,289.1025,282.7300,273.1900,272.8100,292.2100,276.9200,277.5500,281.4400,275.9100,289.1700,293.7000,292.0600,294.3600,285.2100,294.1000,292.6200,296.8800,302.5900,305.9900,303.0800,305.8000,298.3150,298.6500,295.5700,289.8000,293.0000,299.0000,300.0000,298.3950,310.9300,306.2850,295.6300,298.2350,299.9550,302.3050,295.0000,306.6200,300.0100,292.8600,296.5200,278.4350,275.3200,276.4900,273.8900,273.1200,280.3050,282.3950,266.5400,266.3700,258.0000,264.3400,265.9200,260.0000,260.8500,260.3450,258.8700,246.9300,241.9900,240.2400,231.3500
341.2500,335.1000,337.1500,335.0500,333.6400,342.1500,349.8500,351.3300,329.8600,336.4200,333.5500,324.7700,324.5000,326.3000,333.0800,331.2500,321.5900,307.3900,304.5500,304.5000,303.3800,299.1600,297.9100,295.0100,292.1700,287.1600,289.1000,288.4600,295.8000,304.2800,305.8400,313.9800,304.6800,302.6200,300.8000,294.0300,296.6225,294.5000,291.1599,292.6700,292.8100,285.4000,285.0600,278.6887,292.8500,284.5489,280.1900,286.5300,286.8600,289.4998,294.8700,294.9200,297.1300,287.8850,294.6400,298.2185,301.9900,310.1200,307.6750,307.3100,307.9600,302.1300,300.4800,297.9499,294.0900,295.2000,299.3700,303.6500,303.3000,311.3685,306.6100,301.7500,304.6300,300.2000,302.8300,306.4000,307.1000,307.3000,296.0634,296.7200,290.4800,279.4900,279.8700,275.5000,277.1400,281.2100,286.0000,276.3600,266.5700,270.5400,264.8100,266.4383,262.8000,260.9500,261.6400,264.5800,254.7299,247.8800,244.5500,235.3100
334.5600,330.2300,331.3701,326.9000,325.6800,326.9000,341.4600,337.9200,324.8200,330.7800,321.0600,318.2501,316.1400,318.5440,324.5900,321.5000,311.7000,303.4300,299.4500,298.6500,298.5200,296.2301,292.2001,291.2100,286.3800,281.7501,275.0773,283.3200,287.5500,290.9760,299.6400,302.5000,298.5000,296.7200,293.2500,290.2000,286.0700,289.1800,283.1900,289.0000,287.7300,273.0800,273.1900,266.8200,276.4100,276.3200,272.7200,279.8000,273.2300,280.0000,289.5800,288.9100,291.7500,277.1300,287.3811,291.5000,293.5100,302.1200,296.6750,300.8248,302.3800,296.0800,293.6900,294.3897,289.6300,284.4000,293.6550,297.0600,294.9150,296.6900,300.0700,291.3426,292.3200,280.3300,297.4200,293.9800,293.2800,299.9350,290.4900,287.0310,277.1700,273.8300,273.2300,270.6200,270.1900,276.7177,280.0000,265.4500,262.8102,257.9800,259.7300,260.6100,258.7500,258.3800,258.2301,257.7500,246.9300,241.6200,237.9000,230.3000
338.3400,332.7100,334.8700,327.3700,326.1200,327.1600,342.4000,341.6400,327.1100,331.2100,331.7700,323.6300,318.0100,318.6800,327.4300,322.2500,319.6100,303.8900,299.5800,300.9200,302.8400,298.8000,296.9500,293.2800,288.9500,284.6800,276.9600,286.8700,287.7400,292.0400,304.8500,310.1400,303.4100,301.8700,294.7200,292.9300,295.4500,292.0900,287.6800,291.5100,289.9600,284.6800,284.6400,275.0600,277.5000,282.3700,277.9100,282.0100,284.8200,282.2000,290.6200,291.1700,295.2700,286.5000,289.2400,293.6400,294.0500,304.8600,300.4300,303.2200,305.0900,301.5300,298.2500,294.9600,290.7300,288.8800,294.5100,297.7000,295.0800,299.8400,304.7100,295.9400,302.8900,280.6600,299.8800,304.5200,294.0300,302.4000,292.1900,288.1100,288.4700,279.2900,273.2300,273.3600,276.6600,280.7100,282.7100,272.6300,264.8700,268.6400,262.7900,262.0600,261.3800,259.3300,258.9100,260.4400,250.9200,247.1900,243.4100,235.2100
11220419,8646389,12904448,12800956,16789752,22526173,18246104,42188476,11210830,11473628,12714751,12325146,10850820,11744818,15599625,17446299,18526908,8175079,6190570,6205140,5125913,2753914,6802255,6091071,12735804,11260340,16823004,11418442,12082441,19306089,15028375,12429150,10523767,13471115,10275297,6752997,9599221,10746376,7713000,5515376,12220253,13726811,13570309,20872828,15747324,11179176,11850366,10227124,11486828,13827622,9715927,9666250,10869194,15715706,11516858,10275467,16224285,12466592,12667857,14507088,16177305,11804198,13615029,8747007,10379853,15409109,11190502,13391614,17633323,26341457,20788021,16567867,20318268,23398001,10259887,12821210,13080969,15785026,10572491,10197961,14620139,8348796,8046187,10451886,11863397,10230965,17830324,15630292,17640249,16917295,10422030,10381854,8147738,8496585,10004967,18822431,13443419,12986596,14056566,6241940
