2026-01-27,2026-01-26,2026-01-23,2026-01-22,2026-01-21,2026-01-20,2026-01-16,2026-01-15,2026-01-14,2026-01-13,2026-01-12,2026-01-09,2026-01-08,2026-01-07,2026-01-06,2026-01-05,2026-01-02,2025-12-31,2025-12-30,2025-12-29,2025-12-26,2025-12-24,2025-12-23,2025-12-22,2025-12-19,2025-12-18,2025-12-17,2025-12-16,2025-12-15,2025-12-12,2025-12-11,2025-12-10,2025-12-09,2025-12-08,2025-12-05,2025-12-04,2025-12-03,2025-12-02,2025-12-01,2025-11-28,2025-11-26,2025-11-25,2025-11-24,2025-11-21,2025-11-20,2025-11-19,2025-11-18,2025-11-17,2025-11-14,2025-11-13,2025-11-12,2025-11-11,2025-11-10,2025-11-07,2025-11-06,2025-11-05,2025-11-04,2025-11-03,2025-10-31,2025-10-30,2025-10-29,2025-10-28,2025-10-27,2025-10-24,2025-10-23,2025-10-22,2025-10-21,2025-10-20,2025-10-17,2025-10-16,2025-10-15,2025-10-14,2025-10-13,2025-10-10,2025-10-09,2025-10-08,2025-10-07,2025-10-06,2025-10-03,2025-10-02,2025-10-01,2025-09-30,2025-09-29,2025-09-26,2025-09-25,2025-09-24,2025-09-23,2025-09-22,2025-09-19,2025-09-18,2025-09-17,2025-09-16,2025-09-15,2025-09-12,2025-09-11,2025-09-10,2025-09-09,2025-09-08,2025-09-05,2025-09-04
187.2400,187.1600,187.5000,184.7500,179.0500,181.9000,189.0750,186.5000,184.3200,184.9950,183.2200,185.0800,189.1100,188.5700,190.5200,191.7600,189.8350,189.5700,188.2400,187.7100,189.9200,187.9400,182.9700,183.9200,176.6650,174.5300,176.1000,176.2600,177.9360,181.1100,180.2750,184.9650,185.5600,182.6400,183.8900,181.6200,181.0800,181.7600,174.7600,179.0100,181.6300,174.9100,179.4900,181.2350,195.9500,184.7900,183.3750,185.9650,182.8600,191.0500,195.7200,195.1550,195.1100,184.9000,196.4200,198.7700,203.0000,208.0800,206.4500,205.1500,207.9800,193.0500,189.9900,183.8350,180.4200,181.1400,182.7850,183.1300,180.1800,182.2300,184.8000,184.7700,187.9650,193.5050,192.2250,186.5700,186.2300,185.5000,189.1900,189.6000,185.2400,182.0800,180.4250,178.1700,174.4800,179.7700,181.9700,175.3000,175.7700,173.9800,172.6400,177.0000,175.6700,177.7700,179.6800,176.6400,169.0900,167.5500,168.0300,170.5700
190.0000,189.1200,189.6000,186.1700,185.3790,182.3786,190.4400,189.7000,184.4600,188.1099,187.1200,186.3400,189.5500,191.3700,192.1740,193.6300,192.9299,190.5600,188.9900,188.7550,192.6900,188.9100,189.3300,184.1600,181.4500,176.1500,176.1300,178.4900,178.4150,182.8200,181.3200,185.4800,185.7167,188.0000,184.6600,184.5150,182.4500,185.6600,180.3000,179.2900,182.9100,178.1600,183.5000,184.5600,196.0000,187.8550,184.8000,189.0000,191.0100,191.4400,195.8900,195.4200,199.9400,188.3200,197.6200,202.9200,203.9699,211.3350,207.9700,206.1600,212.1899,203.1500,192.0000,187.4700,183.0300,183.4400,182.7850,185.2000,184.1000,183.2800,184.8700,184.8000,190.1099,195.6200,195.3000,189.6000,189.0600,187.2300,190.3600,191.0500,188.1400,187.3500,184.0000,179.7700,180.2600,179.7800,182.4200,184.5500,178.0800,177.1000,173.2000,177.5000,178.8500,178.5950,180.2800,179.2900,170.9800,170.9600,169.0300,171.8600
185.7000,185.9900,186.8233,183.9300,178.4000,177.6100,186.0800,186.3300,180.8000,183.4000,183.0200,183.6701,183.7100,186.5600,186.8200,186.1500,188.2600,186.4900,186.9300,185.9100,188.0000,186.5900,182.9000,182.3500,176.3400,171.8200,170.3100,174.9000,175.0300,174.6200,176.6200,182.0350,183.3200,182.4000,180.9100,179.9600,179.1101,180.0000,173.6800,176.5000,178.2400,169.5500,176.4800,172.9300,179.8500,182.8301,179.6500,184.3200,180.5800,183.8500,191.1300,191.3000,193.7900,178.9100,186.3800,194.6500,197.9300,205.5600,202.0700,201.4100,204.7750,191.9100,188.4318,183.5000,179.7901,176.7600,179.8000,181.7300,179.7500,179.7700,177.2900,179.7000,185.9600,182.0500,191.0600,186.5400,184.0000,183.3300,185.3800,188.0600,183.9000,181.4800,180.3200,174.9300,173.1250,175.4000,176.2100,174.7053,175.1800,172.9600,168.4100,174.3800,174.5100,176.4500,176.4800,175.4700,166.7401,167.3500,164.0700,169.4100
188.5200,186.4700,187.6700,184.8400,183.3200,178.0700,186.2300,187.0500,183.1400,185.8100,184.9400,184.8600,185.0400,189.1100,187.2400,188.1200,188.8500,186.5000,187.5400,188.2200,190.5300,188.6100,189.2100,183.6900,180.9900,174.1400,170.9400,177.7200,176.2900,175.0200,180.9300,183.7800,184.9700,185.5500,182.4100,183.3800,179.5900,181.4600,179.9200,177.0000,180.2600,177.8200,182.5500,178.8800,180.6400,186.5200,181.3600,186.6000,190.1700,186.8600,193.8000,193.1600,199.0500,188.1500,188.0800,195.2100,198.6900,206.8800,202.4900,202.8900,207.0400,201.0300,191.4900,186.2600,182.1600,180.2800,181.1600,182.6400,183.2200,181.8100,179.8300,180.0300,188.3200,183.1600,192.5700,189.1100,185.0400,185.5400,187.6200,188.8900,187.2400,186.5800,181.8500,178.1900,177.6900,176.9700,178.4300,183.6100,176.6700,176.2400,170.2900,174.8800,177.7500,177.8200,177.1700,177.3300,170.7600,168.3100,167.0200,171.6600
138432307,124799649,142748076,139636626,200380959,218355781,187967169,206188642,159586135,160128939,137968453,131327534,172457048,153543174,176862604,183529733,148240462,120100484,97687274,120006103,139740292,65528545,174873621,129064369,324925927,176096001,222775464,148588098,164775636,204274918,182136641,162785370,142372621,191927261,143971098,167364857,165138023,182632230,188130955,121332776,183852010,320600271,256618335,346926153,343504849,247246436,213598877,173628858,186591856,207423074,154935263,176483327,198897134,264942255,223029778,166849081,188919320,180267285,179802178,178864443,308829564,297986180,153452704,131296677,111363718,162249552,124240168,128544711,173135217,179723309,214450482,205641380,153482755,268774359,182997234,130168861,140088008,157678104,137596896,136805821,173844901,236981032,193063455,148573732,191586733,143564116,192559552,269637001,237182143,191763313,211843817,140737775,147061559,124911026,151159274,226852020,157548392,163769133,224441435,141670144
